Player,Tier,Team,GP,W,L,bc_name,bc_games,shooting_pct,score,boost_per_min,avg_boost,boost_stolen,pct_zero_boost,avg_speed,pct_supersonic,pct_high_air,dist_to_ball,pct_offensive_third,demos_inflicted,demos_taken,win_pct
tman,Master,Battle Masters,32,19,13,tman,28,22.65151485714286,367.25,400.1829014285714,46.78720842857143,522.5714285714286,13.690075857142858,1499.6580571428572,13.402317857142856,5.5618323428571435,2804.9305999999997,21.67643371428571,1.2857142857142858,1.0357142857142858,0.59375
taLz.,Master,Imperatores,31,18,13,taLz.,31,31.454173419354838,378.5483874193548,411.1782838709678,47.841955870967745,628.5483870967741,15.25250512903226,1522.162458064516,13.999820225806449,6.455986812903227,2881.1097612903227,22.903991419354842,1.0322580651612905,1.2258064516129032,0.5806451612903226
redwizard2you,Elite,Tiny Terrors,27,13,14,redwizard2you,27,35.71011785185185,434.4444437037037,399.18450888888896,49.82474822222222,494.4814807407408,11.075678592592592,1524.185525925926,11.980737185185182,5.59141437037037,2774.0037555555555,22.49249648148148,0.740740748148148,1.0000000007407408,0.48148148148148145
FrenchyNF,Premier,Gummy Bears,32,20,12,FrenchyNF,32,35.3373015,366.125,439.84124249999996,47.828278875,577.5,15.131482750000002,1554.8484875,17.255786625000002,5.950822875,2741.817025,20.264048250000002,0.96875,0.96875,0.625
Goofball.-.,Prospect,Fairies,32,15,17,Goofball.-.,32,29.869742999999996,364.90625,365.20504,52.92541800000001,599.21875,10.318322437499999,1483.417975,11.093934375,5.079099725000001,3184.1029125,21.064589375,0.65625,1.09375,0.46875
TheLegendaryChance,Master,Blackbirds,32,15,17,TheLegendaryChance,32,29.318146625,364.09375,473.36729125000005,45.775825125000004,780.90625,15.575302875000002,1561.24865,19.247518624999998,5.7831484375,2800.5917874999996,23.090176125000003,1.4375,1.28125,0.46875
Talent?,Elite,Peerless Scarred,32,19,13,Talent?,32,32.83820325,364.0,436.3583275000001,52.58883775,753.5,9.9915728125,1602.3807,17.832088000000002,5.8242320125,3109.3583125000005,23.367590875,1.59375,0.96875,0.59375
Chadley,Master,Air Buds,28,19,9,Chadley,28,30.782158428571424,415.92857142857144,465.53533857142867,50.61276785714285,750.5714285714286,12.377270285714285,1619.869142857143,19.957815857142858,4.975835442857142,3169.715157142857,22.982210285714284,1.4642857142857142,1.1071428571428572,0.6785714285714286
qFoal,Challenger,Decuriones,32,12,20,qFoal,32,25.039682,363.375,421.58474249999995,52.540026624999996,635.125,12.41518825,1518.785425,12.29355275,5.4982543625,2744.5477499999997,20.723345125,1.03125,0.78125,0.375
BlitzzyG,Rival,Quads,26,18,8,BlitzzyG,26,43.587661999999995,446.8461530769231,368.3618461538462,52.61516738461539,456.11538384615386,8.651923946153847,1509.0889153846151,15.551278076923078,5.008157053846153,3042.1391923076926,20.77098123076923,1.8076923115384615,0.7307692315384616,0.6923076923076923
NotLuke9,Elite,Leopards,32,21,11,NotLuke9,32,24.493778125,363.0625,410.70826125,48.66925225,638.1875,11.587778375000001,1552.0371125,15.250194500000001,5.743711200000001,3260.162475,22.676454625,1.0,1.375,0.65625
Speed_demon1215,Veteran,Mages,30,12,18,speed_demon1215,31,30.844854322580645,386.51612903225805,399.2860206451613,48.433873806451615,653.2580612903226,10.710742619354841,1555.1411,13.196587806451612,4.047570151612903,2964.4463838709676,22.28193890322581,1.580645164516129,0.9032258096774194,0.4
Silu.,Elite,Forge Defenders,32,28,4,Silu.,32,26.727495125,362.28125,439.44329875,50.62475275,745.0625,11.717485875000001,1560.4236250000001,20.207295249999998,6.676021575,2852.2753625,23.887188500000004,1.75,0.40625,0.875
Heyzisthename,Veteran,Gorillas,32,26,6,Heyzisthename,32,30.8441555,361.78125,393.00446375,54.362047624999995,478.0625,7.471041275,1501.1037875,11.387288312499999,5.063245137499999,3105.8249249999994,22.233816875000002,0.96875,0.96875,0.8125
ChefHoffy,Rival,Lightning,32,16,16,ChefHoffy,32,27.154095375,361.53125,409.05535125000006,48.303214624999995,481.5,11.772788625,1482.3470250000003,11.833034875,4.38921145,3069.2322124999996,20.562306125,1.3125,1.0,0.5
SirTommyNoble,Veteran,Supernova,31,19,12,SirTommyNoble,31,34.86796364516129,372.64516129032256,396.72474419354836,49.70438703225806,580.0000032258064,10.678033677419355,1533.0320032258066,12.300211193548385,3.0675348258064514,3159.8787483870965,21.901836483870973,0.8387096806451614,0.9354838741935484,0.6129032258064516
Darf01,Master,Nue,32,15,17,Darf01,32,28.254037625000002,360.40625,402.39763999999997,44.117523125000005,578.5625,15.041458749999999,1519.4581000000003,14.07111225,5.305839625,2732.6253874999998,23.042348375000003,1.09375,1.0,0.46875
CF0UR_,Rival,Dracos,31,19,12,CF0UR_,31,33.711402322580646,371.6129025806452,331.18856419354836,52.89445512903226,479.5161283870968,7.979990845161291,1526.1838709677415,10.908403838709676,5.3090553806451615,2958.3720903225803,21.30900670967742,0.9354838774193548,1.0,0.6129032258064516
bayylock,Rival,Tax Evaders,32,16,16,bayylock,32,36.7015275,359.8125,405.0211499999999,47.425595625,462.84375,13.940021000000002,1534.958625,15.526022999999999,3.8616723875,2941.4468625,21.440663,0.75,1.03125,0.5
Suckiest Sucker,Rival,Hue Heroes,32,18,14,Suckiest Sucker,31,36.55441316129032,363.58064580645157,369.63390451612906,52.28076477419355,523.0322587096774,8.82871624516129,1464.3877870967742,9.879156929032257,4.488405764516129,2952.924587096774,19.860564387096776,0.7741935483870968,1.0000000032258065,0.5625
Insert_e,Elite,Sloths,28,13,15,Insert_e,28,32.247752,410.89285714285717,433.32212428571427,51.548242714285706,576.8928571428571,10.845214857142858,1636.1542142857143,21.81854242857143,5.916846428571428,2910.2750428571426,19.476991857142856,1.0357142857142858,1.0714285714285714,0.4642857142857143
Quazzaa,Challenger,Blitzars,30,18,12,Quazzaa,30,31.361231733333334,382.96666666666664,448.32427199999995,51.3499344,486.43333333333334,15.151789133333333,1575.2295733333333,14.793596599999999,5.164260733333333,3140.71924,21.5806856,1.0666666666666667,0.6,0.6
